timestamp,time_seconds,timestamp_ns,tracker_head_x,tracker_head_y,tracker_head_z,tracker_head_qw,tracker_head_qx,tracker_head_qy,tracker_head_qz,tracker_left_x,tracker_left_y,tracker_left_z,tracker_left_qw,tracker_left_qx,tracker_left_qy,tracker_left_qz,tracker_right_x,tracker_right_y,tracker_right_z,tracker_right_qw,tracker_right_qx,tracker_right_qy,tracker_right_qz
2026-03-08T15:18:50.710250+00:00,12.154747,1772983130710250500,,,,,,,,0.533016,-0.493970,0.880234,0.833348,-0.002652,-0.552829,-0.003991,0.496161,-0.495276,0.941458,0.887398,-0.004493,-0.460834,-0.006891
2026-03-08T15:18:50.743832+00:00,12.188325,1772983130743831700,,,,,,,,0.533017,-0.493971,0.880233,0.833336,-0.002656,-0.552846,-0.004011,0.496148,-0.495277,0.941461,0.887395,-0.004482,-0.460840,-0.006898
2026-03-08T15:18:50.777404+00:00,12.221897,1772983130777404000,,,,,,,,0.533015,-0.493973,0.880232,0.833333,-0.002669,-0.552851,-0.004001,0.496150,-0.495277,0.941462,0.887390,-0.004496,-0.460848,-0.006882
2026-03-08T15:18:50.810945+00:00,12.255438,1772983130810945300,,,,,,,,0.533010,-0.493970,0.880232,0.833335,-0.002681,-0.552849,-0.004037,0.496155,-0.495275,0.941465,0.887388,-0.004483,-0.460853,-0.006859
2026-03-08T15:18:50.844535+00:00,12.289028,1772983130844534800,,,,,,,,0.533011,-0.493973,0.880230,0.833342,-0.002648,-0.552837,-0.004018,0.496156,-0.495273,0.941464,0.887396,-0.004487,-0.460837,-0.006877
2026-03-08T15:18:50.878052+00:00,12.322544,1772983130878051600,,,,,,,,0.533009,-0.493972,0.880229,0.833342,-0.002627,-0.552838,-0.004003,0.496156,-0.495270,0.941469,0.887394,-0.004491,-0.460841,-0.006883
2026-03-08T15:18:50.911942+00:00,12.356434,1772983130911941600,,,,,,,,0.533000,-0.493972,0.880230,0.833348,-0.002629,-0.552830,-0.004019,0.496154,-0.495270,0.941475,0.887404,-0.004497,-0.460822,-0.006906
2026-03-08T15:18:50.945632+00:00,12.390125,1772983130945631400,,,,,,,,0.533005,-0.493975,0.880231,0.833327,-0.002664,-0.552860,-0.004021,0.496154,-0.495269,0.941472,0.887396,-0.004484,-0.460838,-0.006884
2026-03-08T15:18:50.979165+00:00,12.423659,1772983130979164800,,,,,,,,0.533001,-0.493974,0.880230,0.833343,-0.002659,-0.552836,-0.004025,0.496152,-0.495269,0.941471,0.887393,-0.004467,-0.460843,-0.006889
2026-03-08T15:18:51.012682+00:00,12.457177,1772983131012682000,,,,,,,,0.532995,-0.493974,0.880232,0.833361,-0.002668,-0.552810,-0.004010,0.496153,-0.495269,0.941472,0.887388,-0.004461,-0.460853,-0.006897
2026-03-08T15:18:51.046229+00:00,12.490723,1772983131046229200,,,,,,,,0.532991,-0.493972,0.880234,0.833348,-0.002661,-0.552829,-0.004051,0.496151,-0.495271,0.941469,0.887388,-0.004421,-0.460852,-0.006887
2026-03-08T15:18:51.079805+00:00,12.524299,1772983131079804900,,,,,,,,0.532996,-0.493975,0.880230,0.833343,-0.002669,-0.552837,-0.004027,0.496142,-0.495275,0.941463,0.887395,-0.004451,-0.460840,-0.006914
2026-03-08T15:18:51.113337+00:00,12.557833,1772983131113337200,,,,,,,,0.532994,-0.493975,0.880231,0.833343,-0.002686,-0.552836,-0.004033,0.496131,-0.495277,0.941454,0.887395,-0.004451,-0.460839,-0.006913
2026-03-08T15:18:51.146882+00:00,12.591378,1772983131146881900,,,,,,,,0.532992,-0.493975,0.880231,0.833344,-0.002695,-0.552835,-0.004043,0.496116,-0.495277,0.941446,0.887398,-0.004459,-0.460834,-0.006925
2026-03-08T15:18:51.180730+00:00,12.625223,1772983131180730100,,,,,,,,0.532985,-0.493975,0.880232,0.833344,-0.002715,-0.552835,-0.004040,0.496107,-0.495276,0.941446,0.887388,-0.004470,-0.460853,-0.006904
2026-03-08T15:18:51.214282+00:00,12.658775,1772983131214282100,,,,,,,,0.532989,-0.493976,0.880231,0.833346,-0.002698,-0.552831,-0.004041,0.496082,-0.495279,0.941439,0.887399,-0.004476,-0.460831,-0.006921
2026-03-08T15:18:51.248045+00:00,12.692538,1772983131248045100,,,,,,,,0.532988,-0.493976,0.880231,0.833344,-0.002700,-0.552834,-0.004058,0.496077,-0.495280,0.941436,0.887399,-0.004468,-0.460830,-0.006916
2026-03-08T15:18:51.281523+00:00,12.726010,1772983131281522700,,,,,,,,0.532988,-0.493976,0.880232,0.833351,-0.002706,-0.552824,-0.004044,0.496080,-0.495283,0.941434,0.887397,-0.004485,-0.460836,-0.006891
2026-03-08T15:18:51.315103+00:00,12.759596,1772983131315103200,,,,,,,,0.532988,-0.493975,0.880234,0.833351,-0.002695,-0.552824,-0.004042,0.496092,-0.495283,0.941434,0.887391,-0.004478,-0.460847,-0.006873
2026-03-08T15:18:51.348963+00:00,12.793455,1772983131348962700,,,,,,,,0.532988,-0.493976,0.880230,0.833343,-0.002708,-0.552836,-0.004045,0.496105,-0.495284,0.941430,0.887395,-0.004465,-0.460839,-0.006883
2026-03-08T15:18:51.382433+00:00,12.826928,1772983131382433100,,,,,,,,0.532989,-0.493974,0.880232,0.833339,-0.002690,-0.552842,-0.004043,0.496230,-0.495284,0.941432,0.887391,-0.004476,-0.460846,-0.006878
2026-03-08T15:18:51.416085+00:00,12.860579,1772983131416084900,,,,,,,,0.532988,-0.493974,0.880231,0.833348,-0.002701,-0.552828,-0.004034,0.496287,-0.495283,0.941438,0.887395,-0.004466,-0.460840,-0.006873
2026-03-08T15:18:51.449692+00:00,12.894185,1772983131449691800,,,,,,,,0.532989,-0.493972,0.880232,0.833344,-0.002681,-0.552834,-0.004039,0.496311,-0.495281,0.941444,0.887395,-0.004460,-0.460839,-0.006874
2026-03-08T15:18:51.483094+00:00,12.927587,1772983131483094100,,,,,,,,0.532989,-0.493970,0.880232,0.833346,-0.002708,-0.552831,-0.004064,0.496325,-0.495282,0.941448,0.887398,-0.004433,-0.460834,-0.006876
2026-03-08T15:18:51.516665+00:00,12.961158,1772983131516664800,,,,,,,,0.532992,-0.493965,0.880230,0.833348,-0.002688,-0.552829,-0.004034,0.496326,-0.495282,0.941447,0.887399,-0.004469,-0.460832,-0.006876
2026-03-08T15:18:51.551926+00:00,12.996419,1772983131551926100,,,,,,,,0.532994,-0.493958,0.880233,0.833350,-0.002721,-0.552825,-0.004009,0.496333,-0.495283,0.941450,0.887392,-0.004453,-0.460844,-0.006900
2026-03-08T15:18:51.585692+00:00,13.030186,1772983131585691800,,,,,,,,0.533001,-0.493945,0.880230,0.833343,-0.002679,-0.552836,-0.004033,0.496342,-0.495280,0.941448,0.887395,-0.004450,-0.460840,-0.006872
2026-03-08T15:18:51.619249+00:00,13.063742,1772983131619249200,,,,,,,,0.533002,-0.493935,0.880229,0.833344,-0.002678,-0.552834,-0.004025,0.496343,-0.495282,0.941453,0.887395,-0.004462,-0.460840,-0.006857
2026-03-08T15:18:51.652905+00:00,13.097398,1772983131652905300,,,,,,,,0.533003,-0.493932,0.880229,0.833344,-0.002675,-0.552835,-0.004017,0.496343,-0.495282,0.941456,0.887392,-0.004471,-0.460845,-0.006858
2026-03-08T15:18:51.686418+00:00,13.130912,1772983131686417900,,,,,,,,0.533003,-0.493930,0.880222,0.833340,-0.002661,-0.552841,-0.004051,0.496341,-0.495282,0.941458,0.887395,-0.004481,-0.460839,-0.006854
2026-03-08T15:18:51.720201+00:00,13.164696,1772983131720200900,,,,,,,,0.533006,-0.493927,0.880213,0.833347,-0.002657,-0.552831,-0.004058,0.496340,-0.495282,0.941456,0.887397,-0.004476,-0.460836,-0.006850
2026-03-08T15:18:51.753769+00:00,13.198265,1772983131753769200,,,,,,,,0.533013,-0.493925,0.880209,0.833339,-0.002662,-0.552843,-0.004040,0.496340,-0.495283,0.941457,0.887393,-0.004489,-0.460844,-0.006868
2026-03-08T15:18:51.787418+00:00,13.231914,1772983131787418400,,,,,,,,0.533019,-0.493922,0.880207,0.833342,-0.002674,-0.552838,-0.004059,0.496342,-0.495282,0.941457,0.887395,-0.004467,-0.460840,-0.006850
2026-03-08T15:18:51.821172+00:00,13.265663,1772983131821171500,,,,,,,,0.533021,-0.493921,0.880203,0.833346,-0.002689,-0.552832,-0.004059,0.496345,-0.495283,0.941456,0.887394,-0.004472,-0.460842,-0.006852
2026-03-08T15:18:51.854758+00:00,13.299251,1772983131854757900,,,,,,,,0.533023,-0.493920,0.880200,0.833345,-0.002690,-0.552832,-0.004067,0.496345,-0.495289,0.941441,0.887395,-0.004470,-0.460839,-0.006858
2026-03-08T15:18:51.888275+00:00,13.332769,1772983131888275100,,,,,,,,0.533025,-0.493921,0.880199,0.833344,-0.002689,-0.552835,-0.004066,0.496345,-0.495291,0.941436,0.887395,-0.004478,-0.460840,-0.006850
2026-03-08T15:18:51.921804+00:00,13.366297,1772983131921804000,,,,,,,,0.533028,-0.493920,0.880200,0.833344,-0.002689,-0.552835,-0.004045,0.496344,-0.495298,0.941422,0.887395,-0.004472,-0.460839,-0.006858
2026-03-08T15:18:51.955490+00:00,13.399986,1772983131955490300,,,,,,,,0.533037,-0.493923,0.880200,0.833348,-0.002708,-0.552828,-0.004058,0.496345,-0.495311,0.941405,0.887392,-0.004465,-0.460845,-0.006850
2026-03-08T15:18:51.989010+00:00,13.433504,1772983131989009700,,,,,,,,0.533040,-0.493920,0.880198,0.833345,-0.002681,-0.552833,-0.004059,0.496346,-0.495321,0.941400,0.887395,-0.004475,-0.460839,-0.006850
2026-03-08T15:18:52.022521+00:00,13.467016,1772983132022521700,,,,,,,,0.533044,-0.493921,0.880196,0.833352,-0.002645,-0.552823,-0.004070,0.496347,-0.495327,0.941395,0.887400,-0.004486,-0.460829,-0.006831
2026-03-08T15:18:52.056086+00:00,13.500579,1772983132056085600,,,,,,,,0.533046,-0.493924,0.880194,0.833327,-0.002665,-0.552860,-0.004093,0.496349,-0.495333,0.941392,0.887389,-0.004498,-0.460851,-0.006838
2026-03-08T15:18:52.089609+00:00,13.534102,1772983132089609300,,,,,,,,0.533046,-0.493925,0.880195,0.833343,-0.002685,-0.552836,-0.004059,0.496350,-0.495334,0.941394,0.887396,-0.004489,-0.460838,-0.006843
2026-03-08T15:18:52.123108+00:00,13.567600,1772983132123107500,,,,,,,,0.533048,-0.493927,0.880195,0.833340,-0.002674,-0.552840,-0.004061,0.496352,-0.495335,0.941393,0.887393,-0.004498,-0.460843,-0.006851
2026-03-08T15:18:52.156673+00:00,13.601167,1772983132156672900,,,,,,,,0.533048,-0.493929,0.880195,0.833345,-0.002670,-0.552833,-0.004068,0.496355,-0.495335,0.941393,0.887399,-0.004492,-0.460833,-0.006839
2026-03-08T15:18:52.190240+00:00,13.634733,1772983132190240100,,,,,,,,0.533047,-0.493932,0.880196,0.833348,-0.002674,-0.552828,-0.004082,0.496355,-0.495334,0.941394,0.887396,-0.004472,-0.460839,-0.006841
2026-03-08T15:18:52.224020+00:00,13.668513,1772983132224020500,,,,,,,,0.533049,-0.493932,0.880199,0.833347,-0.002654,-0.552830,-0.004084,0.496353,-0.495333,0.941393,0.887384,-0.004473,-0.460860,-0.006842
2026-03-08T15:18:52.257792+00:00,13.702284,1772983132257791500,,,,,,,,0.533045,-0.493934,0.880198,0.833360,-0.002677,-0.552810,-0.004059,0.496354,-0.495327,0.941395,0.887392,-0.004472,-0.460845,-0.006835
2026-03-08T15:18:52.291326+00:00,13.735819,1772983132291326000,,,,,,,,0.533046,-0.493937,0.880198,0.833340,-0.002664,-0.552841,-0.004052,0.496352,-0.495323,0.941398,0.887391,-0.004472,-0.460848,-0.006824
2026-03-08T15:18:52.324894+00:00,13.769387,1772983132324893800,,,,,,,,0.533044,-0.493942,0.880197,0.833343,-0.002656,-0.552837,-0.004053,0.496326,-0.495320,0.941403,0.887399,-0.004453,-0.460832,-0.006844
2026-03-08T15:18:52.358367+00:00,13.802862,1772983132358367600,,,,,,,,0.533047,-0.493946,0.880195,0.833345,-0.002661,-0.552834,-0.004035,0.496242,-0.495316,0.941416,0.887393,-0.004471,-0.460843,-0.006848
2026-03-08T15:18:52.391897+00:00,13.836389,1772983132391896900,,,,,,,,0.533044,-0.493951,0.880196,0.833344,-0.002672,-0.552835,-0.004037,0.496202,-0.495311,0.941433,0.887395,-0.004474,-0.460840,-0.006846
2026-03-08T15:18:52.425640+00:00,13.870135,1772983132425640200,,,,,,,,0.533041,-0.493956,0.880198,0.833343,-0.002664,-0.552836,-0.004030,0.496182,-0.495302,0.941451,0.887396,-0.004476,-0.460838,-0.006850
2026-03-08T15:18:52.459201+00:00,13.903694,1772983132459201200,,,,,,,,0.533041,-0.493958,0.880201,0.833343,-0.002654,-0.552837,-0.004027,0.496174,-0.495284,0.941466,0.887396,-0.004480,-0.460838,-0.006866
2026-03-08T15:18:52.492723+00:00,13.937216,1772983132492723000,,,,,,,,0.533042,-0.493960,0.880204,0.833341,-0.002660,-0.552839,-0.004039,0.496170,-0.495270,0.941472,0.887397,-0.004477,-0.460835,-0.006862
